# time(sec) Desired Measured
0.990 0.0314 0.3013
0.991 0.0283 0.3368
0.992 0.0251 0.3238
0.993 0.0220 0.3103
0.994 0.0188 0.3196
0.995 0.0157 0.3137
0.996 0.0126 0.2763
0.997 0.0094 0.2693
0.998 0.0063 0.3219
0.999 0.0031 0.2819
1.000 0.0000 0.2843
1.001 -0.0031 0.2779
1.002 -0.0063 0.2763
1.003 -0.0094 0.3053
1.004 -0.0126 0.2645
1.005 -0.0157 0.2762
1.006 -0.0188 0.2287
1.007 -0.0220 0.2830
1.008 -0.0251 0.2335
1.009 -0.0283 0.2714
1.010 -0.0314 0.2173
1.011 -0.0346 0.2227
1.012 -0.0377 0.2451
1.013 -0.0408 0.2469
1.014 -0.0440 0.2168
1.015 -0.0471 0.2289
1.016 -0.0502 0.2150
1.017 -0.0534 0.2353
1.018 -0.0565 0.1938
1.019 -0.0597 0.2607
1.020 -0.0628 0.1867
1.021 -0.0659 0.2128
1.022 -0.0691 0.2241
1.023 -0.0722 0.2514
1.024 -0.0753 0.1848
1.025 -0.0785 0.2044
1.026 -0.0816 0.1945
1.027 -0.0847 0.1964
1.028 -0.0879 0.2004
1.029 -0.0910 0.1995
1.030 -0.0941 0.2038
1.031 -0.0972 0.1898
1.032 -0.1004 0.2144
1.033 -0.1035 0.1891
1.034 -0.1066 0.1662
1.035 -0.1097 0.1867
1.036 -0.1129 0.1851
1.037 -0.1160 0.2058
1.038 -0.1191 0.1913
1.039 -0.1222 0.1893
1.040 -0.1253 0.1683
1.041 -0.1284 0.1535
1.042 -0.1316 0.1761
1.043 -0.1347 0.1665
1.044 -0.1378 0.1541
1.045 -0.1409 0.1605
1.046 -0.1440 0.1686
1.047 -0.1471 0.1678
1.048 -0.1502 0.1103
1.049 -0.1533 0.1349
1.050 -0.1564 0.1482
1.051 -0.1595 0.1525
1.052 -0.1626 0.1513
1.053 -0.1657 0.0854
1.054 -0.1688 0.1373
1.055 -0.1719 0.1081
1.056 -0.1750 0.1331
1.057 -0.1781 0.1102
1.058 -0.1812 0.1329
1.059 -0.1843 0.1235
1.060 -0.1874 0.1133
1.061 -0.1905 0.1259
1.062 -0.1935 0.0869
1.063 -0.1966 0.0786
1.064 -0.1997 0.0696
1.065 -0.2028 0.1002
1.066 -0.2059 0.0914
1.067 -0.2089 0.1013
1.068 -0.2120 0.1007
1.069 -0.2151 0.0991
1.070 -0.2181 0.1028
1.071 -0.2212 0.1222
1.072 -0.2243 0.0957
1.073 -0.2273 0.0794
1.074 -0.2304 0.0885
1.075 -0.2334 0.0641
1.076 -0.2365 0.0502
1.077 -0.2396 0.0551
1.078 -0.2426 0.0468
1.079 -0.2456 0.0685
1.080 -0.2487 0.0638
1.081 -0.2517 0.0607
1.082 -0.2548 0.0524
1.083 -0.2578 0.0199
1.084 -0.2608 0.0604
1.085 -0.2639 0.0755
1.086 -0.2669 0.0554
1.087 -0.2699 0.0795
1.088 -0.2730 0.0337
1.089 -0.2760 0.0463
1.090 -0.2790 0.0000
1.091 -0.2820 0.0339
1.092 -0.2850 0.0030
1.093 -0.2880 0.0250
1.094 -0.2910 -0.0214
1.095 -0.2940 0.0133
1.096 -0.2970 0.0465
1.097 -0.3000 0.0057
1.098 -0.3030 0.0059
1.099 -0.3060 -0.0046
1.100 -0.3090 0.0206
1.101 -0.3120 -0.0092
1.102 -0.3150 -0.0068
1.103 -0.3180 -0.0161
1.104 -0.3209 -0.0250
1.105 -0.3239 0.0011
1.106 -0.3269 -0.0435
1.107 -0.3299 -0.0090
1.108 -0.3328 -0.0299
1.109 -0.3358 -0.0139
1.110 -0.3387 -0.0304
1.111 -0.3417 -0.0248
1.112 -0.3446 -0.0366
1.113 -0.3476 -0.0355
1.114 -0.3505 -0.0072
1.115 -0.3535 -0.0659
1.116 -0.3564 -0.0474
1.117 -0.3593 -0.0579
1.118 -0.3623 -0.0354
1.119 -0.3652 -0.0188
1.120 -0.3681 -0.0324
1.121 -0.3710 -0.0886
1.122 -0.3740 -0.0808
1.123 -0.3769 -0.0881
1.124 -0.3798 -0.0108
1.125 -0.3827 -0.0639
1.126 -0.3856 -0.0609
1.127 -0.3885 -0.0953
1.128 -0.3914 -0.0581
1.129 -0.3943 -0.1003
1.130 -0.3971 -0.0696
1.131 -0.4000 -0.1196
1.132 -0.4029 -0.1010
1.133 -0.4058 -0.0561
1.134 -0.4086 -0.0834
1.135 -0.4115 -0.0909
1.136 -0.4144 -0.1265
1.137 -0.4172 -0.1034
1.138 -0.4201 -0.1319
1.139 -0.4229 -0.1178
1.140 -0.4258 -0.1253
1.141 -0.4286 -0.1174
1.142 -0.4315 -0.1254
1.143 -0.4343 -0.1097
1.144 -0.4371 -0.1169
1.145 -0.4399 -0.1448
1.146 -0.4428 -0.1095
1.147 -0.4456 -0.1548
1.148 -0.4484 -0.1346
1.149 -0.4512 -0.1234
1.150 -0.4540 -0.1826
1.151 -0.4568 -0.1150
1.152 -0.4596 -0.1409
1.153 -0.4624 -0.1280
1.154 -0.4652 -0.1257
1.155 -0.4679 -0.1445
1.156 -0.4707 -0.1671
1.157 -0.4735 -0.1488
1.158 -0.4762 -0.1601
1.159 -0.4790 -0.1459
1.160 -0.4818 -0.1836
1.161 -0.4845 -0.1365
1.162 -0.4873 -0.1589
1.163 -0.4900 -0.2221
1.164 -0.4927 -0.1652
1.165 -0.4955 -0.1745
1.166 -0.4982 -0.1721
1.167 -0.5009 -0.1893
1.168 -0.5036 -0.2088
1.169 -0.5063 -0.2151
1.170 -0.5090 -0.1893
1.171 -0.5117 -0.1981
1.172 -0.5144 -0.2403
1.173 -0.5171 -0.2132
1.174 -0.5198 -0.1990
1.175 -0.5225 -0.2060
1.176 -0.5252 -0.1929
1.177 -0.5278 -0.2199
1.178 -0.5305 -0.2206
1.179 -0.5332 -0.2222
1.180 -0.5358 -0.2399
1.181 -0.5385 -0.2334
1.182 -0.5411 -0.2148
1.183 -0.5438 -0.2222
1.184 -0.5464 -0.2316
1.185 -0.5490 -0.2255
1.186 -0.5516 -0.2565
1.187 -0.5543 -0.2230
1.188 -0.5569 -0.2450
1.189 -0.5595 -0.2506
1.190 -0.5621 -0.2721
1.191 -0.5647 -0.2608
1.192 -0.5673 -0.2552
1.193 -0.5699 -0.2480
1.194 -0.5724 -0.2854
1.195 -0.5750 -0.2721
1.196 -0.5776 -0.2686
1.197 -0.5801 -0.2806
1.198 -0.5827 -0.2809
1.199 -0.5852 -0.2554
1.200 -0.5878 -0.2406
1.201 -0.5903 -0.2914
1.202 -0.5929 -0.2938
1.203 -0.5954 -0.2926
1.204 -0.5979 -0.2752
1.205 -0.6004 -0.2775
1.206 -0.6029 -0.2696
1.207 -0.6054 -0.2822
1.208 -0.6079 -0.2734
1.209 -0.6104 -0.2904
1.210 -0.6129 -0.2775
1.211 -0.6154 -0.3096
1.212 -0.6179 -0.3158
1.213 -0.6203 -0.3192
1.214 -0.6228 -0.3397
1.215 -0.6252 -0.3184
1.216 -0.6277 -0.3437
1.217 -0.6301 -0.3130
1.218 -0.6326 -0.2906
1.219 -0.6350 -0.3303
1.220 -0.6374 -0.3266
1.221 -0.6398 -0.3423
1.222 -0.6423 -0.3702
1.223 -0.6447 -0.3718
1.224 -0.6471 -0.3728
1.225 -0.6494 -0.3633
1.226 -0.6518 -0.3380
1.227 -0.6542 -0.3437
1.228 -0.6566 -0.3743
1.229 -0.6590 -0.3590
1.230 -0.6613 -0.3784
1.231 -0.6637 -0.3505
1.232 -0.6660 -0.3871
1.233 -0.6684 -0.3453
1.234 -0.6707 -0.3460
1.235 -0.6730 -0.3466
1.236 -0.6753 -0.3777
1.237 -0.6776 -0.3992
1.238 -0.6800 -0.3888
1.239 -0.6823 -0.3913
1.240 -0.6845 -0.3902
1.241 -0.6868 -0.4015
1.242 -0.6891 -0.3589
1.243 -0.6914 -0.3839
1.244 -0.6937 -0.4176
1.245 -0.6959 -0.4332
1.246 -0.6982 -0.4006
1.247 -0.7004 -0.3889
1.248 -0.7026 -0.3708
1.249 -0.7049 -0.3751
1.250 -0.7071 -0.4401
1.251 -0.7093 -0.4086
1.252 -0.7115 -0.3985
1.253 -0.7137 -0.4237
1.254 -0.7159 -0.3913
1.255 -0.7181 -0.4216
1.256 -0.7203 -0.4248
1.257 -0.7225 -0.4126
1.258 -0.7247 -0.4340
1.259 -0.7268 -0.4148
1.260 -0.7290 -0.4373
1.261 -0.7311 -0.4726
1.262 -0.7333 -0.4920
1.263 -0.7354 -0.4178
1.264 -0.7375 -0.4292
1.265 -0.7396 -0.4553
1.266 -0.7417 -0.4514
1.267 -0.7438 -0.4526
1.268 -0.7459 -0.4553
1.269 -0.7480 -0.4304
1.270 -0.7501 -0.4566
1.271 -0.7522 -0.4575
1.272 -0.7543 -0.4549
1.273 -0.7563 -0.4803
1.274 -0.7584 -0.4667
1.275 -0.7604 -0.4517
1.276 -0.7624 -0.4749
1.277 -0.7645 -0.4679
1.278 -0.7665 -0.4816
1.279 -0.7685 -0.4542
1.280 -0.7705 -0.4987
1.281 -0.7725 -0.5053
1.282 -0.7745 -0.4660
1.283 -0.7765 -0.4978
1.284 -0.7785 -0.4896
1.285 -0.7804 -0.5029
1.286 -0.7824 -0.4952
1.287 -0.7843 -0.4652
1.288 -0.7863 -0.5103
1.289 -0.7882 -0.4790
1.290 -0.7902 -0.5080
1.291 -0.7921 -0.5305
1.292 -0.7940 -0.4728
1.293 -0.7959 -0.5065
1.294 -0.7978 -0.5034
1.295 -0.7997 -0.5195
1.296 -0.8016 -0.5369
1.297 -0.8034 -0.5226
1.298 -0.8053 -0.5420
1.299 -0.8072 -0.5374
1.300 -0.8090 -0.5446
1.301 -0.8109 -0.5306
1.302 -0.8127 -0.5588
1.303 -0.8145 -0.5463
1.304 -0.8163 -0.5556
1.305 -0.8181 -0.5804
1.306 -0.8200 -0.5162
1.307 -0.8217 -0.5541
1.308 -0.8235 -0.5730
1.309 -0.8253 -0.5133
1.310 -0.8271 -0.5458
1.311 -0.8288 -0.5550
1.312 -0.8306 -0.5478
1.313 -0.8323 -0.5696
1.314 -0.8341 -0.5522
1.315 -0.8358 -0.5659
1.316 -0.8375 -0.5823
1.317 -0.8392 -0.5874
1.318 -0.8409 -0.5870
1.319 -0.8426 -0.5628
1.320 -0.8443 -0.5629
1.321 -0.8460 -0.5758
1.322 -0.8477 -0.5792
1.323 -0.8493 -0.5990
1.324 -0.8510 -0.5759
1.325 -0.8526 -0.5572
1.326 -0.8543 -0.5911
1.327 -0.8559 -0.6027
1.328 -0.8575 -0.5854
1.329 -0.8591 -0.6254
1.330 -0.8607 -0.5975
1.331 -0.8623 -0.5783
1.332 -0.8639 -0.5796
1.333 -0.8655 -0.6200
1.334 -0.8671 -0.5846
1.335 -0.8686 -0.5610
1.336 -0.8702 -0.5828
1.337 -0.8717 -0.6331
1.338 -0.8733 -0.5837
1.339 -0.8748 -0.6354
1.340 -0.8763 -0.6373
1.341 -0.8778 -0.6602
1.342 -0.8793 -0.6225
1.343 -0.8808 -0.6024
1.344 -0.8823 -0.6750
1.345 -0.8838 -0.6224
1.346 -0.8852 -0.6498
1.347 -0.8867 -0.6226
1.348 -0.8881 -0.6750
1.349 -0.8896 -0.6330
1.350 -0.8910 -0.6334
1.351 -0.8924 -0.6023
1.352 -0.8938 -0.6585
1.353 -0.8952 -0.6454
1.354 -0.8966 -0.6536
1.355 -0.8980 -0.6566
1.356 -0.8994 -0.6771
1.357 -0.9008 -0.7087
1.358 -0.9021 -0.6631
1.359 -0.9035 -0.6499
1.360 -0.9048 -0.6501
1.361 -0.9062 -0.6276
1.362 -0.9075 -0.6618
1.363 -0.9088 -0.6291
1.364 -0.9101 -0.6383
1.365 -0.9114 -0.6699
1.366 -0.9127 -0.6740
1.367 -0.9140 -0.6560
1.368 -0.9152 -0.6672
1.369 -0.9165 -0.6642
1.370 -0.9178 -0.6680
1.371 -0.9190 -0.7088
1.372 -0.9202 -0.6870
1.373 -0.9215 -0.6684
1.374 -0.9227 -0.6673
1.375 -0.9239 -0.6627
1.376 -0.9251 -0.6494
1.377 -0.9263 -0.7099
1.378 -0.9274 -0.6975
1.379 -0.9286 -0.6747
1.380 -0.9298 -0.6701
1.381 -0.9309 -0.6875
1.382 -0.9321 -0.7259
1.383 -0.9332 -0.7023
1.384 -0.9343 -0.6971
1.385 -0.9354 -0.7233
1.386 -0.9365 -0.7194
1.387 -0.9376 -0.7586
1.388 -0.9387 -0.7046
1.389 -0.9398 -0.7102
1.390 -0.9409 -0.7053
1.391 -0.9419 -0.7484
1.392 -0.9430 -0.7323
1.393 -0.9440 -0.7040
1.394 -0.9451 -0.7202
1.395 -0.9461 -0.7109
1.396 -0.9471 -0.7434
1.397 -0.9481 -0.7259
1.398 -0.9491 -0.7568
1.399 -0.9501 -0.7256
1.400 -0.9511 -0.6993
1.401 -0.9520 -0.7342
1.402 -0.9530 -0.7605
1.403 -0.9539 -0.7603
1.404 -0.9549 -0.7113
1.405 -0.9558 -0.7071
1.406 -0.9567 -0.7469
1.407 -0.9576 -0.7603
1.408 -0.9585 -0.7330
1.409 -0.9594 -0.7526
1.410 -0.9603 -0.7578
1.411 -0.9612 -0.7308
1.412 -0.9620 -0.7565
1.413 -0.9629 -0.7227
1.414 -0.9637 -0.7721
1.415 -0.9646 -0.7678
1.416 -0.9654 -0.7556
1.417 -0.9662 -0.7531
1.418 -0.9670 -0.7767
1.419 -0.9678 -0.7340
1.420 -0.9686 -0.7392
1.421 -0.9694 -0.7393
1.422 -0.9701 -0.7708
1.423 -0.9709 -0.7885
1.424 -0.9716 -0.7556
1.425 -0.9724 -0.7986
1.426 -0.9731 -0.7597
1.427 -0.9738 -0.7526
1.428 -0.9745 -0.7538
1.429 -0.9752 -0.7795
1.430 -0.9759 -0.7928
1.431 -0.9766 -0.7747
1.432 -0.9773 -0.7696
1.433 -0.9779 -0.7955
1.434 -0.9786 -0.7662
1.435 -0.9792 -0.7764
1.436 -0.9799 -0.8091
1.437 -0.9805 -0.7622
1.438 -0.9811 -0.8141
1.439 -0.9817 -0.7915
1.440 -0.9823 -0.7979
1.441 -0.9829 -0.7597
1.442 -0.9834 -0.7836
1.443 -0.9840 -0.7808
1.444 -0.9846 -0.8227
1.445 -0.9851 -0.7922
1.446 -0.9856 -0.7916
1.447 -0.9862 -0.8145
1.448 -0.9867 -0.7873
1.449 -0.9872 -0.8099
1.450 -0.9877 -0.7858
1.451 -0.9882 -0.8222
1.452 -0.9887 -0.7852
1.453 -0.9891 -0.8178
1.454 -0.9896 -0.8215
1.455 -0.9900 -0.8088
1.456 -0.9905 -0.8164
1.457 -0.9909 -0.8386
1.458 -0.9913 -0.8173
1.459 -0.9917 -0.8297
1.460 -0.9921 -0.8104
1.461 -0.9925 -0.8286
1.462 -0.9929 -0.8218
1.463 -0.9933 -0.8441
1.464 -0.9936 -0.8346
1.465 -0.9940 -0.8085
1.466 -0.9943 -0.7861
1.467 -0.9946 -0.8192
1.468 -0.9950 -0.8312
1.469 -0.9953 -0.8094
1.470 -0.9956 -0.7855
1.471 -0.9959 -0.8343
1.472 -0.9961 -0.8305
1.473 -0.9964 -0.8600
1.474 -0.9967 -0.8551
1.475 -0.9969 -0.8496
1.476 -0.9972 -0.8348
1.477 -0.9974 -0.8242
1.478 -0.9976 -0.8607
1.479 -0.9978 -0.8405
1.480 -0.9980 -0.8331
1.481 -0.9982 -0.8267
1.482 -0.9984 -0.8359
1.483 -0.9986 -0.8298
1.484 -0.9987 -0.8838
1.485 -0.9989 -0.8560
1.486 -0.9990 -0.8584
1.487 -0.9992 -0.8029
1.488 -0.9993 -0.8295
1.489 -0.9994 -0.8081
1.490 -0.9995 -0.8580
1.491 -0.9996 -0.8588
1.492 -0.9997 -0.8190
1.493 -0.9998 -0.8244
1.494 -0.9998 -0.8360
1.495 -0.9999 -0.8211
1.496 -0.9999 -0.8423
1.497 -1.0000 -0.8664
1.498 -1.0000 -0.8586
1.499 -1.0000 -0.8543
1.500 -1.0000 -0.8559
1.501 -1.0000 -0.8383
1.502 -1.0000 -0.8560
1.503 -1.0000 -0.9108
1.504 -0.9999 -0.8776
1.505 -0.9999 -0.8783
1.506 -0.9998 -0.8462
1.507 -0.9998 -0.8616
1.508 -0.9997 -0.8545
1.509 -0.9996 -0.8374
1.510 -0.9995 -0.8500
1.511 -0.9994 -0.8573
1.512 -0.9993 -0.8572
1.513 -0.9992 -0.8637
1.514 -0.9990 -0.8745
1.515 -0.9989 -0.8192
1.516 -0.9987 -0.8726
1.517 -0.9986 -0.8672
1.518 -0.9984 -0.9066
1.519 -0.9982 -0.8768
1.520 -0.9980 -0.8851
1.521 -0.9978 -0.9075
1.522 -0.9976 -0.8481
1.523 -0.9974 -0.8726
1.524 -0.9972 -0.8503
1.525 -0.9969 -0.8803
1.526 -0.9967 -0.8783
1.527 -0.9964 -0.8598
1.528 -0.9961 -0.8819
1.529 -0.9959 -0.8882
1.530 -0.9956 -0.8690
1.531 -0.9953 -0.8759
1.532 -0.9950 -0.8663
1.533 -0.9946 -0.9209
1.534 -0.9943 -0.8763
1.535 -0.9940 -0.8708
1.536 -0.9936 -0.8833
1.537 -0.9933 -0.8957
1.538 -0.9929 -0.8653
1.539 -0.9925 -0.8940
1.540 -0.9921 -0.8884
1.541 -0.9917 -0.8786
1.542 -0.9913 -0.8996
1.543 -0.9909 -0.8977
1.544 -0.9905 -0.9033
1.545 -0.9900 -0.8971
1.546 -0.9896 -0.8823
1.547 -0.9891 -0.8992
1.548 -0.9887 -0.9192
1.549 -0.9882 -0.9006
1.550 -0.9877 -0.8692
1.551 -0.9872 -0.8703
1.552 -0.9867 -0.8871
1.553 -0.9862 -0.8757
1.554 -0.9856 -0.9229
1.555 -0.9851 -0.8788
1.556 -0.9846 -0.9032
1.557 -0.9840 -0.8828
1.558 -0.9834 -0.8802
1.559 -0.9829 -0.9183
1.560 -0.9823 -0.8981
1.561 -0.9817 -0.9255
1.562 -0.9811 -0.9022
1.563 -0.9805 -0.8873
1.564 -0.9799 -0.8830
1.565 -0.9792 -0.8428
1.566 -0.9786 -0.9339
1.567 -0.9779 -0.9226
1.568 -0.9773 -0.9025
1.569 -0.9766 -0.9022
1.570 -0.9759 -0.8930
1.571 -0.9752 -0.8816
1.572 -0.9745 -0.9178
1.573 -0.9738 -0.8773
1.574 -0.9731 -0.9113
1.575 -0.9724 -0.9031
1.576 -0.9716 -0.9016
1.577 -0.9709 -0.8886
1.578 -0.9701 -0.8908
1.579 -0.9694 -0.8838
1.580 -0.9686 -0.9202
1.581 -0.9678 -0.9001
1.582 -0.9670 -0.9134
1.583 -0.9662 -0.9080
1.584 -0.9654 -0.9082
1.585 -0.9646 -0.9047
1.586 -0.9637 -0.9147
1.587 -0.9629 -0.9036
1.588 -0.9620 -0.8538
1.589 -0.9612 -0.8971
1.590 -0.9603 -0.8994
1.591 -0.9594 -0.8836
1.592 -0.9585 -0.9136
1.593 -0.9576 -0.9005
1.594 -0.9567 -0.9064
1.595 -0.9558 -0.8805
1.596 -0.9549 -0.8957
1.597 -0.9539 -0.9045
1.598 -0.9530 -0.9080
1.599 -0.9520 -0.8917
1.600 -0.9511 -0.8576
1.601 -0.9501 -0.8528
1.602 -0.9491 -0.9213
1.603 -0.9481 -0.8736
1.604 -0.9471 -0.9138
1.605 -0.9461 -0.8821
1.606 -0.9451 -0.9026
1.607 -0.9440 -0.8787
1.608 -0.9430 -0.8755
1.609 -0.9419 -0.9215
1.610 -0.9409 -0.9145
1.611 -0.9398 -0.9104
1.612 -0.9387 -0.9023
1.613 -0.9376 -0.8977
1.614 -0.9365 -0.8894
1.615 -0.9354 -0.8700
1.616 -0.9343 -0.8906
1.617 -0.9332 -0.9173
1.618 -0.9321 -0.8689
1.619 -0.9309 -0.8769
1.620 -0.9298 -0.8679
1.621 -0.9286 -0.9350
1.622 -0.9274 -0.9020
1.623 -0.9263 -0.8968
1.624 -0.9251 -0.9188
1.625 -0.9239 -0.8935
1.626 -0.9227 -0.9051
1.627 -0.9215 -0.8890
1.628 -0.9202 -0.8935
1.629 -0.9190 -0.8879
1.630 -0.9178 -0.9028
1.631 -0.9165 -0.9081
1.632 -0.9152 -0.8832
1.633 -0.9140 -0.8722
1.634 -0.9127 -0.9361
1.635 -0.9114 -0.9001
1.636 -0.9101 -0.8994
1.637 -0.9088 -0.8936
1.638 -0.9075 -0.8943
1.639 -0.9062 -0.9299
1.640 -0.9048 -0.9235
1.641 -0.9035 -0.8544
1.642 -0.9021 -0.8855
1.643 -0.9008 -0.9118
1.644 -0.8994 -0.9033
1.645 -0.8980 -0.8985
1.646 -0.8966 -0.9129
1.647 -0.8952 -0.8709
1.648 -0.8938 -0.9135
1.649 -0.8924 -0.9200
1.650 -0.8910 -0.8948
1.651 -0.8896 -0.8935
1.652 -0.8881 -0.8724
1.653 -0.8867 -0.9113
1.654 -0.8852 -0.8779
1.655 -0.8838 -0.8710
1.656 -0.8823 -0.8614
1.657 -0.8808 -0.8824
1.658 -0.8793 -0.8783
1.659 -0.8778 -0.8730
1.660 -0.8763 -0.8809
1.661 -0.8748 -0.8633
1.662 -0.8733 -0.8957
1.663 -0.8717 -0.9052
1.664 -0.8702 -0.8366
1.665 -0.8686 -0.8667
1.666 -0.8671 -0.8737
1.667 -0.8655 -0.8876
1.668 -0.8639 -0.8698
1.669 -0.8623 -0.8581
1.670 -0.8607 -0.8697
1.671 -0.8591 -0.8806
1.672 -0.8575 -0.8446
1.673 -0.8559 -0.8664
1.674 -0.8543 -0.8917
1.675 -0.8526 -0.8564
1.676 -0.8510 -0.8928
1.677 -0.8493 -0.8679
1.678 -0.8477 -0.8741
1.679 -0.8460 -0.8659
1.680 -0.8443 -0.8554
1.681 -0.8426 -0.8998
1.682 -0.8409 -0.8710
1.683 -0.8392 -0.8605
1.684 -0.8375 -0.8686
1.685 -0.8358 -0.8470
1.686 -0.8341 -0.8631
1.687 -0.8323 -0.8374
1.688 -0.8306 -0.8810
1.689 -0.8288 -0.8716
1.690 -0.8271 -0.8635
1.691 -0.8253 -0.8530
1.692 -0.8235 -0.8623
1.693 -0.8217 -0.8366
1.694 -0.8200 -0.9222
1.695 -0.8181 -0.8414
1.696 -0.8163 -0.8492
1.697 -0.8145 -0.8622
1.698 -0.8127 -0.8638
1.699 -0.8109 -0.8731
1.700 -0.8090 -0.8648
1.701 -0.8072 -0.8579
1.702 -0.8053 -0.8233
1.703 -0.8034 -0.8436
1.704 -0.8016 -0.8497
1.705 -0.7997 -0.8530
1.706 -0.7978 -0.8326
1.707 -0.7959 -0.8293
1.708 -0.7940 -0.8160
1.709 -0.7921 -0.8599
1.710 -0.7902 -0.8406
1.711 -0.7882 -0.8167
1.712 -0.7863 -0.8619
1.713 -0.7843 -0.8356
1.714 -0.7824 -0.8430
1.715 -0.7804 -0.8320
1.716 -0.7785 -0.8210
1.717 -0.7765 -0.8164
1.718 -0.7745 -0.8107
1.719 -0.7725 -0.8696
1.720 -0.7705 -0.8250
1.721 -0.7685 -0.8291
1.722 -0.7665 -0.8573
1.723 -0.7645 -0.8351
1.724 -0.7624 -0.8288
1.725 -0.7604 -0.8540
1.726 -0.7584 -0.8557
1.727 -0.7563 -0.8399
1.728 -0.7543 -0.7894
1.729 -0.7522 -0.8184
1.730 -0.7501 -0.8682
1.731 -0.7480 -0.8071
1.732 -0.7459 -0.8333
1.733 -0.7438 -0.8095
1.734 -0.7417 -0.8417
1.735 -0.7396 -0.8101
1.736 -0.7375 -0.8486
1.737 -0.7354 -0.8024
1.738 -0.7333 -0.8323
1.739 -0.7311 -0.7909
1.740 -0.7290 -0.7827
1.741 -0.7268 -0.7942
1.742 -0.7247 -0.8615
1.743 -0.7225 -0.8093
1.744 -0.7203 -0.8142
1.745 -0.7181 -0.8210
1.746 -0.7159 -0.8346
1.747 -0.7137 -0.8181
1.748 -0.7115 -0.8330
1.749 -0.7093 -0.8090
1.750 -0.7071 -0.8089
1.751 -0.7049 -0.8005
1.752 -0.7026 -0.7811
1.753 -0.7004 -0.8447
1.754 -0.6982 -0.7886
1.755 -0.6959 -0.8057
1.756 -0.6937 -0.8037
1.757 -0.6914 -0.8016
1.758 -0.6891 -0.7852
1.759 -0.6868 -0.7590
1.760 -0.6845 -0.7467
1.761 -0.6823 -0.7837
1.762 -0.6800 -0.7996
1.763 -0.6776 -0.7675
1.764 -0.6753 -0.7563
1.765 -0.6730 -0.7668
1.766 -0.6707 -0.7447
1.767 -0.6684 -0.7564
1.768 -0.6660 -0.7883
1.769 -0.6637 -0.7557
1.770 -0.6613 -0.7866
1.771 -0.6590 -0.7668
1.772 -0.6566 -0.7664
1.773 -0.6542 -0.8177
1.774 -0.6518 -0.7639
1.775 -0.6494 -0.7952
1.776 -0.6471 -0.7635
1.777 -0.6447 -0.7858
1.778 -0.6423 -0.7617
1.779 -0.6398 -0.7750
1.780 -0.6374 -0.7635
1.781 -0.6350 -0.7500
1.782 -0.6326 -0.7629
1.783 -0.6301 -0.7451
1.784 -0.6277 -0.7287
1.785 -0.6252 -0.7286
1.786 -0.6228 -0.7546
1.787 -0.6203 -0.7674
1.788 -0.6179 -0.7548
1.789 -0.6154 -0.7494
1.790 -0.6129 -0.7542
1.791 -0.6104 -0.7550
1.792 -0.6079 -0.7361
1.793 -0.6054 -0.7717
1.794 -0.6029 -0.7577
1.795 -0.6004 -0.7408
1.796 -0.5979 -0.7233
1.797 -0.5954 -0.7558
1.798 -0.5929 -0.6999
1.799 -0.5903 -0.7105
1.800 -0.5878 -0.7074
1.801 -0.5852 -0.7329
1.802 -0.5827 -0.7093
1.803 -0.5801 -0.7585
1.804 -0.5776 -0.7228
1.805 -0.5750 -0.6931
1.806 -0.5724 -0.7311
1.807 -0.5699 -0.7130
1.808 -0.5673 -0.7406
1.809 -0.5647 -0.7131
1.810 -0.5621 -0.6809
1.811 -0.5595 -0.7347
1.812 -0.5569 -0.6575
1.813 -0.5543 -0.6758
1.814 -0.5516 -0.7069
1.815 -0.5490 -0.7003
1.816 -0.5464 -0.7275
1.817 -0.5438 -0.6977
1.818 -0.5411 -0.6910
1.819 -0.5385 -0.6685
1.820 -0.5358 -0.6785
1.821 -0.5332 -0.6472
1.822 -0.5305 -0.6610
1.823 -0.5278 -0.6721
1.824 -0.5252 -0.7003
1.825 -0.5225 -0.7149
1.826 -0.5198 -0.6831
1.827 -0.5171 -0.6959
1.828 -0.5144 -0.6943
1.829 -0.5117 -0.6658
1.830 -0.5090 -0.6675
1.831 -0.5063 -0.6557
1.832 -0.5036 -0.7005
1.833 -0.5009 -0.7018
1.834 -0.4982 -0.6940
1.835 -0.4955 -0.6822
1.836 -0.4927 -0.6045
1.837 -0.4900 -0.7154
1.838 -0.4873 -0.6463
1.839 -0.4845 -0.6772
1.840 -0.4818 -0.6479
1.841 -0.4790 -0.6467
1.842 -0.4762 -0.6692
1.843 -0.4735 -0.6543
1.844 -0.4707 -0.6514
1.845 -0.4679 -0.6225
1.846 -0.4652 -0.6726
1.847 -0.4624 -0.6462
1.848 -0.4596 -0.6339
1.849 -0.4568 -0.6321
1.850 -0.4540 -0.6596
1.851 -0.4512 -0.6462
1.852 -0.4484 -0.6552
1.853 -0.4456 -0.6413
1.854 -0.4428 -0.6235
1.855 -0.4399 -0.6520
1.856 -0.4371 -0.6171
1.857 -0.4343 -0.5862
1.858 -0.4315 -0.5954
1.859 -0.4286 -0.6061
1.860 -0.4258 -0.6132
1.861 -0.4229 -0.6393
1.862 -0.4201 -0.5783
1.863 -0.4172 -0.5979
1.864 -0.4144 -0.5863
1.865 -0.4115 -0.5922
1.866 -0.4086 -0.6049
1.867 -0.4058 -0.6033
1.868 -0.4029 -0.5627
1.869 -0.4000 -0.6001
1.870 -0.3971 -0.5975
